Autonomous Community/City,Population,Deaths for Covid,Colour
Andalucia,8446561,11300,#66a61e
Aragon,1324397,3906,#e6ab02
Cantabria,581949,611,#e6ab02
Castilla y Leon,2402877,7639,#7570b3
Castilla-La Mancha,2220270,6502,#d95f02
Cataluna,7609499,15987,#1b9e77
Ceuta,84434,128,#e6ab02
Comunidad de Madrid,6685471,16258,#e6ab02
Comunidad Foral de Navarra,652526,1255,#66a61e
Comunidad Valenciana,4998711,7845,#7570b3
Extremadura,1062797,1990,#1b9e77
Galicia,2698764,2652,#1b9e77
Islas Baleares,1198576,1010,#e7298a
La Rioja,314487,825,#d95f02
Melilla,84286,113,#e7298a
Pais Vasco,2181919,5034,#e7298a
Principado de Asturias,1019993,2080,#d95f02
Region de Murcia,1494442,1757,#e7298a
